place_id,place_name,description,category,city,price,rating,time_minutes,lat,long,rating_count
1,Monumen Nasional,monumen nasional atau yang populer disingkat dengan monas atau tugu monas adalah monumen peringatan setinggi 132 meter 433 kaki yang didirikan untuk mengenang perlawanan dan perjuangan rakyat indonesia untuk merebut kemerdekaan dari pemerintahan kolonial hindia belanda pembangunan monumen ini dimulai pada tanggal 17 agustus 1961 di bawah perintah presiden soekarno dan dibuka untuk umum pada tanggal 12 juli 1975 tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyalanyala monumen nasional terletak tepat di tengah lapangan medan merdeka jakarta pusat,Budaya,Jakarta,20000,46,15.0,-6.1753924,106.8271528,18
2,Kota Tua,kota tua di jakarta yang juga bernama kota tua berpusat di alunalun fatahillah yaitu alunalun yang ramai dengan pertunjukan rutin tarian tradisional museum sejarah jakarta adalah bangunan era belanda dengan lukisan dan barang antik sedangkan museum wayang memamerkan boneka kayu khas jawa desa glodok atau chinatown terkenal dengan makanan kaki lima seperti pangsit dan mi goreng di dekatnya terdapat sekunar dan kapal penangkap ikan di pelabuhan sunda kelapa yang kuno,Budaya,Jakarta,0,46,90.0,-6.137644799999999,106.8171245,25
3,Dunia Fantasi,dunia fantasi atau disebut juga dufan adalah tempat hiburan yang terletak di kawasan taman impian jaya ancol jakarta utara indonesia dufan diresmikan dan dibuka pada tanggal 29 agustus 1985,Taman Hiburan,Jakarta,270000,46,360.0,-6.125312399999999,106.8335377,19
4,Taman Mini Indonesia Indah (TMII),taman mini indonesia indah merupakan suatu kawasan taman wisata bertema budaya indonesia di jakarta timur area seluas kurang lebih 150 hektare atau 15 kilometer persegi ini terletak pada koordinat 61868ls10653472bt,Taman Hiburan,Jakarta,10000,45,,-6.302445899999999,106.8951559,21
5,Atlantis Water Adventure,atlantis water adventure atau dikenal dengan atlantis ancol akan menyuguhkan petualangan wisata air tak terlupakan tempat wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama yaitu kolam antila plaza atlas poseidon aquarius octopus kiddy pool dan atlantean berlokasi di kawasan ancol jakarta baycity atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang,Taman Hiburan,Jakarta,94000,45,60.0,-6.12419,106.839134,24
6,Taman Impian Jaya Ancol,taman impian jaya ancol merupakan sebuah objek wisata di jakarta utarann,Taman Hiburan,Jakarta,25000,45,10.0,-6.117333200000001,106.8579951,24
7,Kebun Binatang Ragunan,kebun binatang ragunan adalah sebuah kebun binatang yang terletak di daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang seluas 140 hektare ini didirikan pada tahun 1864 di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimennragunan sempat ditutup selama sekitar tiga minggu sejak 19 september 2005 karena hewanhewan di dalamnya ada yang terinfeksi flu burung tetapi dibuka kembali pada 11 oktober 2005kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua orangutan gorila anoa dan gajah,Cagar Alam,Jakarta,4000,45,,-6.3124593,106.8201865,22
8,Ocean Ecopark,ocean ecopark salah satu zona rekreasi ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga beberapa diantaranya outbondholic rumah energy rumah lebah kano paintball outbondholic ecomarket learning farm ecobike faunaland kalau berencana berwisata ke ocean eco park ancol tidak perlu khawatir dengan harga tiket masuknya karena harga tiket masuk ocean eco park ditawarkan dengan harga yang masih terjangkaux000d,Taman Hiburan,Jakarta,180000,4,,-6.125801699999999,106.8363249,30
9,Pelabuhan Marina,pelabuhan marina ancol berada di kawasan taman impian jaya ancol jakarta pelabuhan yang biasa disebut dermaga marina ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja tetapi juga dikembangkan untuk banyak hal seperti wisata air olahraga air maupun wahana bermain fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan seribu begitu juga sebaliknya banyak orang yang berada di jakarta dan sekitarnya menjadikan kepulaun seribu sebagai tujuan wisata yang utama liburan di pulau seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan sembari menikmati keindahan pantai yang masih terjaga dengan baik marina ancol berada di jakarta utara atau secara lengkap beralamat di kota tua ancol pademangan kota jakarta sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota selain itu ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online,Bahari,Jakarta,175000,44,,1.07888,103.931398,19
10,Pulau Tidung,pulau tidung adalah salah satu kelurahan di kecamatan kepulauan seribu selatan kabupaten kepulauan seribu jakarta indonesia,Bahari,Jakarta,150000,45,,-5.803205300000001,106.5237907,14
11,Pulau Bidadari,pulau bidadari merupakan salah satu resor di kabupaten kepulauan seribu jakarta sebelum bernama pulau bidadari pulau ini memiliki dua nama yaitu pulau sakit dan pulau purmerend,Bahari,Jakarta,5000,46,,-6.035832999999999,106.746944,24
12,Pulau Pari,pulau pari adalah sebuah pulau yang terletak di kepulauan seribu di daerah khusus ibukota jakarta indonesiax000d,Bahari,Jakarta,150000,4,,-5.9074328,106.5863989,15
13,Pulau Pramuka,pulau pramuka merupakan salah satu pulau yang berada dalam gugusan kepulauan seribu pulau ini merupakan pusat administrasi dan pemerintahan kabupaten administrasi kepulauan seribu pulau pramuka termasuk ke dalam wilayah kelurahan pulau panggang,Bahari,Jakarta,5000,42,,-5.745962,106.6136577,25
